,sac_number,prop_add,building_type,building_name,village,num_flat,region,num_shops,wing_name,prabhag_no,ward_name_field,updated_by,update_time,device_ip,address,validity
0,KW1513987590000,,,,,,,,,061,K/W,,,,,False
1,KW1510660470000,,,,,,,,,061,K/W,,,,,False
2,KW1511620200000,,,,,,,,,061,K/W,,,,,False
3,KW1514014400000,,,,,,,,,061,K/W,,,,,False
4,KW1514014660000,,,,,,,,,061,K/W,,,,,False
5,KW1513979140000,",LTD BLDG NO 16,OSHIWARA MHADA COMPLEX, LINK RD ANDHERI [WEST]MUMBAI 53",Mixed Legend,SECY OSHIWARA HIMASAI CHS ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5611 (H-51) PLOT NO 51 OSHIWARA VILLAGE HOUSE BLDG NO 16,False
6,KW1513986940000,",101,102 GANESH NAGAR NEW LINK RD,VILLAGE OSHIWARA,JOGESHWARI (W) MUMBAI 400 102",Mixed Legend,SECY SHREE SAILILA  CHS LTD ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW 5562 (35/D) CTS NO 55 ,56 ,57 ,94, 96 PT 101 102 VILLAG E OSHIWARA GANESH NAGAR NEW LINK RD HOUSE WITH SHOPS SHREE SAILILA (SRA) CHS LTD",False
7,KW1514011990000,",CTS NO 26(PT),34(PT),38(PT),VILLAGE OSHIWARA NEW LINK,RD,JOGESHWARI(W) MUMBAI 102",Mixed Legend,M/S GANESH NIWAS CHS(PROP) ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5562(35/F) CTS NO 26(PT),34(PT),38(PT) VILLAGE OSHIWARA JOGESHWARI(W) PLOT OF LAND",False
8,KW1514012020000,",ROSHAN NAGAR ( S.R.A.), CHS LTD, NEW LINK ROAD, BEHRAM BAUG, JOGESHWARI (W), MUMBAI, 400102",Mixed Legend,M/s. ROSHAN NAGAR (S.R.A.) C.H.S. LTD. NARAYAN PEDNEKAR ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW-5562(35/G) CTS NO 28(PT)34(PT) 36 TO 43(PT) VILLAGE OSHIWARA HOUSE WITH SHOPS- ROSHAN NAGAR SRA CHS .,False
9,KW1604620610000,",D LAXMI PALACE 76 MATHURDAS,RD KANDIVALI [W] MUMBAI 67,",Mixed Legend,M/S BYRAMJI JIJIBHOY PVT LT ,VILLAGE OSHIWARA,,,,,061,K/W,,,,KW 5642 [14F] CTS NO 567/1 TO 44 574 574/1TO86 575 575 1TO 52 576 TO 578 VILLAGE OSHIWARA HOUSE REHAB BLDG NO 4,False
10,KW1513995690000,"
L PREMISES CHS LTD,B-1 CTS NO 618 NEW LINK RD,OSHIWARAANDHERI [W]MUMBAI 53",C,SECY MORYA ESTATE COMMERCIA  . ,VILLAGE OSHIWARA,,,,,061,K/W,,,,"KW-5611(B-1)/U-219, PL B-1 CTS 618 NEW LINK RD OSHIWARA HOUSE AS OFFICES WITH SHOWROOM & BANKS",False
